,user,timestamp,hours,project
0,arya,2018-09-24 12:06:00,3.0,project-32
1,arya,2018-10-03 13:35:00,2.0,project-32
2,arya,2018-10-16 00:00:00,2.0,project-32
3,arya,2018-11-13 10:49:00,7.0,project-32
4,arya,2018-10-17 15:23:00,2.5,project-25
5,arya,2018-09-20 10:06:00,1.5,learning
6,arya,2018-09-18 10:45:56,4.0,project-32
7,arya,2018-09-19 09:48:48,3.0,project-32
8,arya,2018-09-20 10:06:20,5.5,project-32
9,arya,2018-09-21 10:42:11,0.75,cultureandmanagement
10,arya,2018-09-21 10:42:11,5.25,project-32
11,arya,2018-09-24 12:06:39,6.0,project-32
12,arya,2018-09-25 11:26:43,1.5,learning
13,arya,2018-09-25 11:26:43,3.5,project-32
14,arya,2018-09-26 11:22:47,4.0,project-32
15,arya,2018-09-27 10:01:41,2.0,learning
16,arya,2018-09-27 10:01:41,3.0,project-32
17,arya,2018-09-28 11:20:28,7.0,project-32
18,arya,2018-10-01 11:12:24,3.5,learning
19,arya,2018-10-01 11:12:24,5.5,project-32
20,arya,2018-10-02 14:44:20,6.0,project-32
21,arya,2018-10-03 13:35:43,1.5,data
22,arya,2018-10-03 13:35:43,4.5,project-32
23,arya,2018-10-04 00:00:00,4.0,data
24,arya,2018-10-04 00:00:00,4.0,project-32
25,arya,2018-10-05 00:00:00,2.0,blogideas
26,arya,2018-10-05 00:00:00,1.0,cultureandmanagement
27,arya,2018-10-05 00:00:00,3.5,data
28,arya,2018-10-08 00:00:00,5.0,bizdev
29,arya,2018-10-08 00:00:00,1.0,cultureandmanagement
30,arya,2018-10-08 00:00:00,3.0,learning
31,arya,2018-10-09 11:30:54,2.0,bizdev
32,arya,2018-10-09 11:30:54,3.0,blogideas
33,arya,2018-10-10 10:06:19,2.5,bizdev
34,arya,2018-10-10 10:06:19,5.5,project-32
35,arya,2018-10-11 11:22:20,2.0,learning
36,arya,2018-10-11 11:22:20,1.0,project-25
37,arya,2018-10-11 11:22:20,2.0,project-26
38,arya,2018-10-11 11:22:20,2.5,project-32
39,arya,2018-10-11 11:22:20,1.5,project-43
40,arya,2018-10-12 09:35:25,1.0,cultureandmanagement
41,arya,2018-10-12 09:35:25,1.0,project-25
42,arya,2018-10-12 09:35:25,1.0,project-32
43,arya,2018-10-12 09:35:25,2.0,project-43
44,arya,2018-10-15 00:00:00,2.0,project-25
45,arya,2018-10-15 00:00:00,6.5,project-32
46,arya,2018-10-16 00:00:00,1.0,blogideas
47,arya,2018-10-16 00:00:00,1.0,project-25
48,arya,2018-10-16 00:00:00,3.0,project-32
49,arya,2018-10-17 15:23:24,1.0,learning
50,arya,2018-10-17 15:23:24,1.25,project-25
51,arya,2018-10-17 15:23:24,2.0,project-26
52,arya,2018-10-17 15:23:24,0.25,project-32
53,arya,2018-10-18 00:00:00,3.0,project-25
54,arya,2018-10-18 00:00:00,2.0,project-26
55,arya,2018-10-19 00:00:00,6.0,project-25
56,arya,2018-10-22 14:09:24,5.0,project-25
57,arya,2018-10-23 00:00:00,1.5,learning
58,arya,2018-10-23 00:00:00,2.0,project-25
59,arya,2018-10-25 00:00:00,2.0,learning
60,arya,2018-10-25 00:00:00,2.0,project-32
61,arya,2018-10-26 00:00:00,3.5,project-25
62,arya,2018-10-26 00:00:00,4.0,project-32
63,arya,2018-10-29 11:33:12,4.0,project-25
64,arya,2018-10-29 11:33:12,4.0,project-32
65,arya,2018-10-30 00:00:00,1.0,learning
66,arya,2018-10-30 00:00:00,3.0,project-25
67,arya,2018-10-30 00:00:00,4.0,project-32
68,arya,2018-10-31 00:00:00,6.0,project-32
69,arya,2018-11-12 00:00:00,4.5,events
70,arya,2018-11-12 00:00:00,3.5,project-32
71,arya,2018-11-13 10:49:20,1.0,project-25
72,arya,2018-11-14 08:03:18,2.0,project-25
73,arya,2018-11-14 08:03:18,2.0,project-32
74,arya,2018-11-15 00:00:00,4.0,project-32
75,arya,2018-11-16 00:00:00,1.0,learning
76,arya,2018-11-16 00:00:00,4.0,project-32
77,arya,2018-11-18 17:21:23,1.0,project-32
78,arya,2018-11-19 00:00:00,1.5,project-22
79,arya,2018-11-19 00:00:00,6.5,project-32
80,arya,2018-11-20 00:00:00,8.0,project-32
81,arya,2018-11-21 00:00:00,6.0,project-32
82,arya,2018-11-22 00:00:00,2.0,project-26
83,arya,2018-11-22 00:00:00,6.0,project-32
84,arya,2018-11-23 13:10:44,1.5,project-26
85,arya,2018-11-23 13:10:44,6.5,project-32
86,arya,2018-11-26 11:39:16,1.0,learning
87,arya,2018-11-26 11:39:16,6.5,project-32
88,arya,2018-10-25 00:00:00,2.0,project-32
89,arya,2018-09-27 10:01:00,3.0,project-32
90,arya,2018-09-28 11:20:00,0.5,cultureandmanagement
91,arya,2018-10-29 11:33:00,0.5,project-22
92,arya,2018-10-09 11:30:00,4.0,project-32
93,bran,2018-10-19 11:14:00,0.63,bizdev
94,bran,2018-10-19 11:14:00,0.78,project-25
95,bran,2018-10-23 09:34:00,0.95,project-25
96,bran,2018-10-30 09:00:00,2.8,project-31
97,bran,2018-11-06 00:00:00,1.25,project-25
98,bran,2018-11-12 00:00:00,6.0,project-66
99,bran,2018-11-15 00:00:00,8.58,project-66
100,bran,2018-11-20 00:00:00,4.5,bizdev
101,bran,2018-11-20 00:00:00,3.1,project-25
102,bran,2018-10-16 10:06:00,1.0,blogideas
103,bran,2018-10-19 11:14:00,0.87,project-25
104,bran,2018-10-15 13:58:08,4.25,cultureandmanagement
105,bran,2018-10-15 13:58:08,2.0,learning
106,bran,2018-10-15 13:58:08,0.75,onboarding
107,bran,2018-10-15 13:58:08,2.0,project-25
108,bran,2018-10-16 10:06:17,1.0,cultureandmanagement
109,bran,2018-10-16 10:06:17,6.0,project-25
110,bran,2018-10-17 00:00:00,0.15,learning
111,bran,2018-10-17 00:00:00,6.95,project-25
112,bran,2018-10-18 14:23:43,5.4399999999999995,bizdev
113,bran,2018-10-18 14:23:43,1.05,learning
114,bran,2018-10-18 14:23:43,0.45,lunch
115,bran,2018-10-18 14:23:43,6.319999999999999,project-25
116,bran,2018-10-19 11:14:18,4.74,project-25
117,bran,2018-10-19 11:14:18,0.83,project-31
118,bran,2018-10-22 00:00:00,1.98,learning
119,bran,2018-10-22 00:00:00,6.17,project-25
120,bran,2018-10-23 09:34:19,0.5,bizdev
121,bran,2018-10-23 09:34:19,1.83,learning
123,bran,2018-10-23 09:34:19,0.47,project-43
124,bran,2018-10-24 08:17:01,7.77,bizdev
125,bran,2018-10-25 13:28:41,3.5,bizdev
